kernactiviteit;synoniemlijst;synoniem1;synoniem2;synoniem3;synoniem4;synoniem5;synoniem6;synoniem7;synoniem8;synoniem9;synoniem10
Agro-ecologie;Agro-forestry;Agro-forestry;;;;;;;;;
Akkerbouw;Agricultuur, Landbouw;Agricultuur;Landbouw;;;;;;;;
Basiseducatie;Basisonderwijs;Basisonderwijs;;;;;;;;;
Behoud regenwoud;-;;;;;;;;;;
Bier;-;;;;;;;;;;
Biodiversiteit;-;;;;;;;;;;
Biologisch;-;;;;;;;;;;
Bodemgezondheid;-;;;;;;;;;;
Boekweit;-;;;;;;;;;;
Brood;-;;;;;;;;;;
Consumentenplatform;-;;;;;;;;;;
Dieetverandering;-;;;;;;;;;;
Educatie;-;;;;;;;;;;
Gelijke kansen;-;;;;;;;;;;
Haver;-;;;;;;;;;;
Inclusieve arbeidsmarkt;-;;;;;;;;;;
Kleinschalig;-;;;;;;;;;;
Klimaatadaptatie;-;;;;;;;;;;
Lichaamshygiëne;-;;;;;;;;;;
Margarine;-;;;;;;;;;;
Middelbare school;-;;;;;;;;;;
Natuurlijke producten;-;;;;;;;;;;
Non-profitorganisatie;-;;;;;;;;;;
Ontmoedigen dierlijke voedselconsumptie;Veganistisch;Veganistisch;;;;;;;;;
Ontmoedigen ontbossing;-;;;;;;;;;;
Ontmoedigen palmolieconsumptie;-;;;;;;;;;;
Plantaardige voedselproductie;Veganistisch;Veganistisch;;;;;;;;;
Psychiatriche doelgroep;-;;;;;;;;;;
Regionaal;-;;;;;;;;;;
Sheaboter;-;;;;;;;;;;
Stimuleren inclusiviteit;-;;;;;;;;;;
Stimuleren plantaardige voedselconsumptie;Veganistisch;Veganistisch;;;;;;;;;
Streekproducten;-;;;;;;;;;;
Studiebegeleiding;-;;;;;;;;;;
Voedselkeuze;-;;;;;;;;;;
Voedseltransitie;-;;;;;;;;;;
Werkgelegenheid;-;;;;;;;;;;